name,importance
Exterior1st_WdShing,4.92E-06
Exterior2nd_AsbShng,3.54E-05
Exterior2nd_AsphShn,1.73E-05
Exterior2nd_Brk Cmn,8.96E-05
Exterior2nd_BrkFace,5.47E-05
Exterior2nd_CBlock,-1.73E-18
Exterior2nd_CmentBd,1.64E-07
Exterior2nd_HdBoard,-5.95E-06
Exterior2nd_ImStucc,1.62E-05
Exterior2nd_MetalSd,0.000118846
Exterior2nd_Other,8.79E-06
Exterior2nd_Plywood,-6.96E-06
Exterior2nd_Stone,1.40E-05
Exterior2nd_Stucco,-1.30E-06
Exterior2nd_VinylSd,-4.60E-06
Exterior2nd_Wd Sdng,0.000202943
Exterior2nd_Wd Shng,9.29E-06
MasVnrType_BrkCmn,9.51E-05
MasVnrType_BrkFace,2.45E-06
MasVnrType_None,3.84E-06
MasVnrType_Stone,0.000155907
Foundation_BrkTil,-8.88E-06
Foundation_CBlock,3.23E-05
Foundation_PConc,0.000130765
Foundation_Slab,5.91E-05
Foundation_Stone,0.000111334
Foundation_Wood,8.98E-05
BsmtCond_0,4.42E-05
BsmtCond_1,0.000161003
BsmtCond_2,3.98E-05
BsmtCond_3,4.01E-07
BsmtCond_4,1.85E-06
Heating_Floor,-1.73E-18
Heating_GasA,-2.77E-07
Heating_GasW,6.15E-05
Heating_Grav,7.60E-05
Heating_OthW,-1.73E-18
Heating_Wall,2.74E-05
CentralAir_N,9.48E-05
CentralAir_Y,0.000139275
Electrical_FuseA,0.000100104
Electrical_FuseF,5.62E-05
Electrical_FuseP,4.00E-05
Electrical_Mix,5.39E-05
Electrical_SBrkr,0.000379658
GarageType_2Types,9.25E-05
GarageType_Attchd,6.86E-05
GarageType_Basment,2.12E-06
GarageType_BuiltIn,-2.36E-06
GarageType_CarPort,3.28E-08
GarageType_Detchd,9.76E-06
GarageType_No,0.000642559
GarageFinish_Fin,6.01E-06
GarageFinish_No,0.000576782
GarageFinish_RFn,1.24E-05
GarageFinish_Unf,6.99E-05
Fence_GdPrv,3.37E-06
Fence_GdWo,6.52E-05
Fence_MnPrv,2.71E-06
Fence_MnWw,3.47E-06
Fence_No,1.92E-05
MiscFeature_Gar2,0.000165355
MiscFeature_No,7.08E-06
MiscFeature_Othr,3.23E-06
MiscFeature_Shed,-1.12E-06
MiscFeature_TenC,-1.73E-18
MoSold_Apr,1.98E-05
MoSold_Aug,4.64E-06
MoSold_Dec,4.85E-06
MoSold_Feb,-2.24E-06
MoSold_Jan,-6.72E-06
MoSold_Jul,-9.35E-09
MoSold_Jun,2.12E-05
MoSold_Mar,8.97E-06
MoSold_May,4.79E-05
MoSold_Nov,3.70E-05
MoSold_Oct,3.78E-05
MoSold_Sep,3.70E-06
SaleType_COD,0.000471287
SaleType_CWD,-2.69E-06
SaleType_Con,1.09E-07
SaleType_ConLD,2.16E-05
SaleType_ConLI,0.000170253
SaleType_ConLw,2.84E-05
SaleType_New,0.006539767
SaleType_Oth,-4.48E-06
SaleType_WD,0.002630977
SaleCondition_Abnorml,5.82E-06
SaleCondition_AdjLand,0.000112979
SaleCondition_Alloca,0.000133637
SaleCondition_Family,1.06E-05
SaleCondition_Normal,0.002135594
SaleCondition_Partial,0.004824707
